name,rating,num_reviews,neighborhood,dist_from_center,price,other,is_Barna,is_Merce_time,short_description,descriptions
Hotel Peninsular,7.0,5268,Ciutat Vella,900,866,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","You're eligible for a Genius discount at Hotel Peninsular! To save at this property, all you have to do is  sign in .
 Just a one minute walk from Las Ramblas, this charming hotel features a free Wi-Fi zone and a bright central courtyard filled with plants. Liceu Metro Station is only 220 yards away.

Hotel Peninsular features functional, air-conditioned rooms with private bathrooms. The hotel’s 24-hour front desk offers luggage storage and information about Barcelona.

The Peninsular is on the edge of the trendy Raval district, which is full of lively bars. The colorful street performers and sidewalk cafés of Las Ramblas are just around the corner.

The famous Boqueria Market is 270 yards from the hotel, while Barcelona Cathedral is 0.3 miles away. Airport buses and local trains stop in Plaça Catalunya, a 10-minute walk away. 
 
 
 
 
Couples in particular like the location – they rated it  9.1  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Free WiFi   Family rooms   24-hour front desk   Elevator   Garden   Air conditioning   Heating   Baggage storage   Breakfast"
Catalonia Roma,8.0,2051,Eixample,2100,990,Subway Access,1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","You're eligible for a Genius discount at Catalonia Roma! To save at this property, all you have to do is  sign in .
 Catalonia Roma is 1969 feet from Sants AVE Train and Metro Station. It offers free Wi-Fi, and you can reach Barcelona city center in 10 minutes by Metro or bus.

There are direct train links to Barcelona Airport from Sants Station and the Airport Bus also stops outside it.

The modern, air-conditioned rooms have wooden floors, a mini fridge with complimentary water and satellite TV. There is a safe and mini-bar, and a private bathroom with a hairdryer.

A buffet breakfast is served at the hotel restaurant. Room service is available and there is also a bar.

Plaza Espanya, Montjuic’s Magic Fountain and the Fira Conference Center are all within 15 minutes’ walk of the hotel.

The 24-hour front desk at Catalonia Roma features a large stained-glass skylight. You can rent a car and currency exchange is offered.

Pets: Only one dog or cat less than 20 kg is allowed per room (on request). Supplement of 22€ night/animal and deposit of 200€. 
 
 
 
 
Couples in particular like the location – they rated it  8.5  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Non-smoking rooms   24-hour front desk   Room service   Terrace   Bar   Elevator   Very Good Breakfast"
Motel One Barcelona-Ciutadella,8.8,8153,Sant Martí,1300,1070,"Subway Access, Beach Nearby",1,1,"Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property","Set in Barcelona’s Born District, right beside Ciutadella Park, Motel One Barcelona-Ciutadella offers modern, air-conditioned rooms with a private bathroom and an interactive TV.

Motel One Barcelona-Ciutadella features a 24-hour lounge bar and a continental breakfast is available each morning at the property. The hotel also has a rooftop terrace with views of Ciutadella Park, the sea and the Barcelona skyline.

Plaça Catalunya and the Ramblas can be reached in a 20-minute walk, as can Barcelona’s Olympic Port. The Sagrada Familia is 30 minutes’ walk away.

Arc de Triomf metro and train station is just 1312 feet away. Motel One is only 20 minutes from the International Convention Center – CCIB FORUM and 30 minutes from the Fira Barcelona Exhibition Center in public transport. 
 
 
 
 
Couples in particular like the location – they rated it  9.5  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Private Parking   Free WiFi   Non-smoking rooms   24-hour front desk   Terrace   Bar   Elevator   Garden   Heating   Very Good Breakfast"
Zenit Borrell,7.9,1907,Eixample,1600,1073,Subway Access,1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","Zenit Borrell is in Barcelona’s Eixample district, a 15 minute walk from the stylish Passeig de Gràcia Boulevard. It offers modern, soundproof rooms with free Wi-Fi and satellite TV.

The Marés restaurant offers Mediterranean and international cuisine, and has an elegant outdoor terrace. There is also a bar with a large TV screen.

All rooms at the Zenit Borrell have air conditioning and a minibar. The private bathrooms come equipped with a hairdryer.

The tour desk can provide useful information on Barcelona and the surrounding area. The hotel is 12 minutes from Plaza Catalunya and the Ramblas by metro, while the Hospital Clinic Metro Station and hospital are 220 yards away from the hotel. 
 
 
 
 
Couples in particular like the location – they rated it  8.3  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Private Parking   Free WiFi   Family rooms   Non-smoking rooms   Restaurant   24-hour front desk   Facilities for disabled guests   Room service   Bar   Good Breakfast"
Hotel Sansi Barcelona,8.0,779,Eixample,450,1256,"Subway Access, Beach Nearby",1,1,"Double Basic
1 full bed","You're eligible for a Genius discount at Hotel Sansi Barcelona! To save at this property, all you have to do is  sign in .
 In a prime location in the Eixample district of Barcelona, Hotel Sansi Barcelona is located a 7-minute walk from Plaça Catalunya, 500 yards from Passeig de Gracia Metro Station and a 6-minute walk from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is a 5-minute walk from Passeig de Gracia, and within 600 yards of the city center.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.

Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona-El Prat Airport, 8.1 miles from the accommodation. 
 
 
 
 
Couples in particular like the location – they rated it  9.2  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Free WiFi   Non-smoking rooms   24-hour front desk   Room service   Elevator   Air conditioning   Heating   Baggage storage   Breakfast"
Catalonia Albeniz,8.6,2350,Sant Martí,2700,1070,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","Catalonia Albeniz offers spacious, air-conditioned rooms with free WiFi and satellite TV. It is located 492 feet from Clot Train Station, and a 15-minute walk from Gaudí’s Sagrada Familia Church.

The property has a gym and an outdoor pool. You can also use the luggage storage facility on site at the Albeniz.

The varied buffet breakfast at the Catalonia Albeniz includes characteristic local dishes, such as potato omelet and bread with tomato.

The Albeniz offers bright, modern rooms with simple décor and wooden floors. Each room includes a mini-bar and a marble bathroom with a hair dryer, plus a safe. All hotel rooms have smart TVs, which are equipped with Chromecast app.

Catalonia Albeniz is just 2297 feet from the shops and restaurants of Glòries Shopping Center, while Encants Flea Market is a 5-minute walk away. Metro services and direct airport trains are available from nearby Clot Station. 
 
 
 
 
Couples in particular like the location – they rated it  8.8  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Parking   Free WiFi   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Room service   Elevator   Good Breakfast"
Catalonia Passeig de Gràcia 4* Sup,9.0,2898,Eixample,350,1789,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","You're eligible for a Genius discount at Catalonia Passeig de Gràcia 4* Sup! To save at this property, all you have to do is  sign in .
 Located next to Barcelona’s Passeig de Gracia Boulevard, Catalonia Passeig de Gràcia 4* Sup offers an outdoor pool, a free gym, a terrace, free Wi-Fi and paid private parking.

All the rooms at Catalonia Passeig de Gràcia 4* Sup has a smart TV with Chromecast app.

The restaurant offers Mediterranean cuisine with a selection of dishes from the ""Gourmet Corner"" menu. Gluten-free menus are available on request.

There is also a gastrobar and a bar with a cocktail menu. An electric vehicle charging station is available.

The property is 1640 feet from Gaudí’s Casa Batlló, 656 feet from Passeig de Gràcia Metro Station, 13-minute walk from La Pedrera and 7-minute walk from Palau de la Música Catalana. Airport busses can be reached within 1148 feet.

Airport busses leave from Plaza Catalunya, located 1148 feet away. 
 
 
 
 
Couples in particular like the location – they rated it  9.7  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Non-smoking rooms   Fitness center   Restaurant   24-hour front desk   Facilities for disabled guests   Bar   Wonderful Breakfast"
Catalonia Avinyo,8.5,3842,Ciutat Vella,800,1320,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","Located 656 feet from Las Ramblas in central Barcelona, Catalonia Avinyo features a rooftop pool and gym. It offers chic, air-conditioned rooms with satellite TV and free Wi-Fi.

Rooms are decorated in a modern, minimalist style with large wall photos. They include a mini-bar, safe and telephone. All hotel rooms have smart TVs, which are equipped with Chromecast app. The modern bathrooms have a shower and a hairdryer.

Barceloneta Beach is a 15-minute walk from Hotel Catalonia Avinyo. The Liceu and Jaume I Metro Stations are just 984 feet away and Barcelona Cathedral is 4 minutes' walk away.

The Avinyo’s central location means there are many shops, bars and restaurants close to the hotel. Bicycle and car hire can be arranged at the tour desk. 
 
 
 
 
Couples in particular like the location – they rated it  9.5  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Free WiFi   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Room service   Terrace   Bar   Very Good Breakfast"
Catalonia Born,8.7,2891,Ciutat Vella,900,1319,"Subway Access, Beach Nearby",1,1,"Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","Set in a 19th-century building in Barcelona’s El Born district, Catalonia Born offers a rooftop pool, an attractive central courtyard and free Wi-Fi. Arc de Triomf Metro Station is 820 feet away.

The classic rooms at Catalonia Born Hotel come with an elegant marble bathroom. They also include a satellite TV and centrally controlled heating or air conditioning, depending on the season.

A buffet breakfast is served, and the snack bar is open for lunch and dinner. There is also a bar in the lobby.

Located minutes from França Train Station, the hotel is well-connected to the rest of the city and its surroundings. Car rental is also available from the tour desk. 
 
 
 
 
Couples in particular like the location – they rated it  9.3  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Parking   Free WiFi   Family rooms   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Bar   Very Good Breakfast"
Ilunion Barcelona,8.3,7631,Sant Martí,3000,1433,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation","Located 10 minutes away from Bogatell Beach in the 22 district, the modern Ilunion Barcelona features a rooftop swimming pool, sun terrace, and a gym. The CCIB Conference Center is 1.2 mi away. Free WiFi is available.

Rooms at Ilunion Barcelona feature air conditioning, a desk and a TV. The private bathroom includes a hairdryer and free toiletries. A safe and mini-bar are provided. Superior rooms also feature a furnished terrace with sea or city views.

This hotel is officially adapted for disabled guests. It has rooms adapted for people with reduced mobility or hearing/visual impairment, available upon request.

Ilunion Barcelona's restaurant serves breakfast and also offers an à la carte menu. The hotel has a bar and provides room service. A menu for guests with specific dietary requirements is also available.

Just a few minutes' walk from the hotel is Rambla de Poblenou and Bogatell Beach, which are home to a wide variety of shops, bars and restaurants. The shopping center is a 4-minute drive away and the Diagonal Mar shopping center is an 8-minute drive away.

Ilunion Barcelona has pleasant, renovated common areas and free internet access. Private underground parking is available for an extra cost.

Llacuna and Poble Nou Metro Station is located less than 984 feet from the hotel. The bus stop of the line number 6 is located 164 feet from the hotel.

Gran Via is 15 minutes away by bus. There is a tourist bus stop near the hotel. Barcelona-El Prat airport is located 12 mi away, with quick access to the Ronda Litoral. 
 
 
 
 
Couples in particular like the location – they rated it  8.6  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Non-smoking rooms   Fitness center   Restaurant   24-hour front desk   Facilities for disabled guests   Bar   Good Breakfast"
